date,symbol,revenue_ttm,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2013-09-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-16,,1.59,,pre-market,,,,,,,,,,,,,20.4545,,,,,,,,,,,
2013-12-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-22,,1.71,,pre-market,,,,,,,,,,,,,33.5938,,,,,,,,,,,
2014-03-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-16,,1.44,,pre-market,,,,,,,,,,,,,6.6667,,,,,,,,,,,
2014-06-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-16,,1.41,,pre-market,,,,,,,,,,,,,-6.0,,,,,,,,,,,
2014-09-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-16,,1.45,,pre-market,,,,,,,,,,,,,-3.9735,,,,,,,,,,,
2014-12-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-21,,0.62,,pre-market,,,,,,,,,,,,,-29.5455,,,,,,,,,,,
2015-03-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-15,,0.62,,pre-market,,,,,,,,,,,,,87.8788,,,,,,,,,,,
2015-06-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-22,,0.66,,pre-market,,,,,,,,,,,,,-18.5185,,,,,,,,,,,
2015-09-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-21,,1.26,,pre-market,,,,,,,,,,,,,36.9565,,,,,,,,,,,
2015-12-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-27,,1.26,,pre-market,,,,,,,,,,,,,129.0909,,,,,,,,,,,
2016-03-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-27,,0.82,,pre-market,,,,,,,,,,,,,20.5882,,,,,,,,,,,
2018-03-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-26,,0.0,,pre-market,,,,,,,,,,,,,-100.0,,,,,,,,,,,
2018-06-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.15,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-26,,0.0,,pre-market,,,,,,,,,,,,,-100.0,,,,,,,,,,,
2018-09-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.26,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-24,,0.0,,pre-market,,,,,,,,,,,,,-100.0,,,,,,,,,,,
2018-12-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.27,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-31,,0.0,,pre-market,,,,,,,,,,,,,-100.0,,,,,,,,,,,
2024-12-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26,,0.7172,,pre-market,,,,,,,,,,,,,-100.0,,,,,,,,,,,
2025-03-31,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-07,,-0.3,,post-market,,,,,,,,,,,,,23.0769,,,,,,,,,,,
2025-06-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14,,0.29,,post-market,,,,,,,,,,,,,866.6667,,,,,,,,,,,
2025-09-30,SNDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06,,1.22,,post-market,,,,,,,,,,,,,37.0787,,,,,,,,,,,
